Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Abhi and Niyu,https://www.youtube.com/watch?v=lyt7Jcl068E,Agnipath scheme explained in 5 minutes | Facts vs Myth Agnipath | Abhi and Niyu,0:06:54,0,6,54,414,Hindi,Vlog,1403368,141000,1005,8015,57,3140000,6/21/2022,4/3/2018,Educational,Maharashtra,426505856,9,10,Yes,Yes,Trustable,Ameya Nerkar
Abhi and Niyu,https://www.youtube.com/watch?v=bxj0GXlrCDs,Why is Indian Rupee falling? | Mystery of Rising Dollar Prices,0:08:13,0,8,13,493,Hindi,Educational,2190388,156000,712,7027,32,3120000,7/8/2022,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=F9bkUM3Fgqo,Russia is destroying Europe to win the war | Russia vs Europe | Abhi and Niyu,0:09:34,0,9,34,574,Hindi,Vlog,1297959,880000,6780,1852,14,3140000,8/1/2022,4/3/2018,Educational,Maharashtra,426505856,9,10,Yes,Yes,Trustable,Ameya Nerkar
Abhi and Niyu,https://www.youtube.com/watch?v=RW38OtD6-4M,Will water cause World War III? | Water crisis in Europe and Asia explained,0:11:44,0,11,44,704,Hindi,Educational,779998,56000,718,1727,22,3120000,9/24/2022,4/3/2018,Lifestyle,Maharashtra,420970579,10,10,Yes,Yes,Trustable,roshan kumar sinha
Abhi and Niyu,https://www.youtube.com/watch?v=vlzAH84DefA,"Bollywood is finished? | How films like KGF, RRR are destroying bollywood's monopoly | Abhi and Niyu",0:05:06,0,5,6,306,Hindi,Review,3228798,220000,681,11888,37,3120000,4/16/2022,3/4/2018,Review,Maharashtra,422940101,10,10,No,Not Required,Trustable,Himanshi
Abhijit Chavda,https://www.youtube.com/watch?v=I6yspvg8cG4,How India Saved Russia & Derailed China's Superpower Hope,13:20:00,13,20,0,"48,000",English,News,103300,5242,507,362,35,463000,10/12/2022,12/30/2020,News,Delhi,38895569,10,10,Yes,Yes,Trustable,Sai Prateek
Abhishek Agarwal Arts,https://www.youtube.com/watch?v=wpHgdmQo2n0,Karthikeya 2 Hindi Trailer,0:02:04,0,2,4,124,Hindi,Entertainment,10870096,423000,389,15441,14,253000,8/8/2020,11/7/2020,Entertainment,Telangana,35596754,10,9,Yes,Yes,Trustable,roshan kumar sinha
Abhishek Upmanyu,https://www.youtube.com/watch?v=mPCDQ34S8Rs,"Delhi, Mumbai & Rich People",0:05:29,0,5,29,329,Hindi,Entertainment,41482806,887000,214,7593,2,4140000,1/24/2017,12/21/2006,Entertainment,Delhi,331702342,8,10,No,Not Required,Trustable,roshan kumar sinha
Abhishek Upmanyu,https://www.youtube.com/watch?v=c7QYEedjb_o,"ABHISHEK UPMANYU |Friends, Crime, & The Cosmos | Stand-Up Comedy by Abhishek Upmanyu",0:15:01,0,15,1,901,Hindi,Entertainment,51904931,1600000,308,27779,5,4140000,8/5/2019,12/21/2006,Entertainment,Delhi,332024799,10,10,No,Not Required,Trustable,Himanshi
Abhishek Upmanyu,https://www.youtube.com/watch?v=dytUxaBbrRA,Harsh & Bassi Unleashed | Crowd Work | Standup Comedy,0:11:55,0,11,55,715,Hindi,Entertainment,25438595,1100000,432,15017,6,1620000,3/8/2021,8/30/2012,Entertainment,Delhi,120101637,10,10,No,Not Required,Trustable,Himanshi
Abhishek Yadav,https://www.youtube.com/watch?v=RSOZ1o4tNuk,HOW I TRANSFORMED MY BODY | FULL DAY GAINING DIET | (18-23) | Ep 1 | FREE GIVEAWAY,0:10:39,0,10,39,639,Hindi,Health,2877057,116000,403,7248,25,634000,6/23/2021,7/18/2020,Health,Delhi,84060548,10,10,No,Not Required,Trustable,Himanshi
Abhistu,https://www.youtube.com/watch?v=AhBKK8h9ZF4,Best Demotivational Video | Abhistu,0:08:16,0,8,16,496,Tamil,Entertainment,21000,3200,1524,113,54,404000,10/14/2022,6/2/2016,Entertainment,Tamil Nadu,30855763,7,8,No,Not Required,Trustable,Imran Khan
Adarsh Singh,https://www.youtube.com/watch?v=8jyk-fT7alE,TRUE Love Found on OMEGLE ??,0:07:47,0,7,47,467,Hindi,Entertainment,9142123,684000,748,10000,11,1950000,3/23/2022,3/1/2016,Entertainment,Not Available,128933710,7,7,No,Not Required,Trustable,Manya Tyagi
Adbhut Tv India,https://www.youtube.com/watch?v=VCDMhiPGAWg,????? ????? ?? ?? ????? ???? ?? ?? ????????? ??? ????? ???,0:02:46,0,2,46,166,Hindi,Entertainment,6724,326,485,20,30,1120000,10/15/2022,1/6/2018,Entertainment,Not Available,190642948,5,5,Yes,Not Required,Not Trustable,Subha Ranjan Patra
Adithya Tech ?????,https://www.youtube.com/watch?v=-0HZxY0Kh-Y,iphone 13 (Product Red) unboxing in Tamil | iphone 13 unboxing and first impressions in Tamil,0:12:25,0,12,25,745,Tamil,Review,30494,13000,4263,170,56,109000,10/16/2021,1/9/2018,Tech,Tamil Nadu,14173381,8,8,No,Not Required,Trustable,Lydia
Aditya Saini,https://www.youtube.com/watch?v=MSPTx9jKr3A,Byju's SCAM ?? | How Byju's is Killing The Youth ? | Business Case Study,0:13:26,0,13,26,806,Hindi,Entertainment,5725642,151000,264,9006,16,578000,12/1/2021,4/8/2020,Entertainment,Not Available,62982011,8,8,Yes,Yes,Trustable,Manya Tyagi
Aditya Saini,https://www.youtube.com/watch?v=SJGxqMd2Krc,Dark Truth of Self Made Billionaire | Reality of Self Made Billionaire | Business Case Study,0:15:15,0,15,15,915,Hindi,Educational,598566,36000,601,62,1,687000,9/30/2022,4/8/2020,Educational,Not Available,70256019,7,5,Yes,Yes,Trustable,Sagar Mali
Aditya Saini,https://www.youtube.com/watch?v=deFXQYtmw5s,"This Sweeper Made 55,00,00,000 Working at a Grocery Store ",8:53:00,8,53,0,"31,980",Hindi,Stock Market,1000000,27200,272,727,7,687000,5/13/2022,4/8/2020,Educational,Delhi,70365064,10,10,Yes,Not Required,Trustable,Sai Prateek
Adiyogi,https://www.youtube.com/watch?v=nlrbZgDw7NQ,Rama Does Not Know How to Treat Sita! | Mahabharata | Ramayana | Sadhguru | Adiyogi,0:10:31,0,10,31,631,English,Lifestyle,76582,1900,248,425,55,420000,10/2/2022,3/10/2018,Lifestyle,Not Available,58327692,6,6,Yes,Yes,Trustable,Sagar Mali
Adobe Tamizha,https://www.youtube.com/watch?v=n_a__YnzV2Y,3 Awesome Tricks In Illustrator ?? Tamil Illustrator Tutorials,0:06:02,0,6,2,362,Tamil,Educational,627,64,1021,8,128,77300,10/13/2022,3/26/2022,Tech,Tamil Nadu,6180319,7,7,Yes,Yes,Trustable,Imran Khan
Aevy TV,https://www.youtube.com/watch?v=zZwYGlnpu6c,"Haldiram: 0 to 20,000 Crores",0:09:02,0,9,2,542,English,Lifestyle,800281,17000,212,760,9,114000,8/28/2022,6/4/2022,Lifestyle,Karnataka,4173456,9,10,Yes,Yes,Trustable,roshan kumar sinha
Aevy TV,https://www.youtube.com/watch?v=PRsWm8WNwDk,"How Harvard Is ""SCAMMING"" Indian Students",0:14:22,0,14,22,862,English,Educational,116774,10000,856,851,73,120000,10/12/2022,6/4/2022,Educational,Not Available,4435871,8,9,Yes,Yes,Trustable,Sagar Mali
Aevy TV,https://www.youtube.com/watch?v=1BdqoZjPmyo,"School Dropout To 15,000 Crores | How MDH Became The KING of Indian Spices",0:12:09,0,12,9,729,English,Educational,1080,178,1648,31,287,127000,10/16/2022,6/4/2022,Educational,Not Available,4435871,7,8,Yes,Yes,Trustable,Sagar Mali
aha videoIN,https://www.youtube.com/watch?v=8wN0kpIs-Vs, Best Intro Scene | Malik | Fahadh Faasil | Streaming now | ahavideoIN,0:11:11,0,11,11,671,Telugu,Entertainment,16567,266,161,22,13,1850000,9/23/2022,1/20/2020,Entertainment,Not Available,776517810,5,6,No,Not Required,Trustable,Srikrishna
Airtel India,https://www.youtube.com/watch?v=TkOCjc25Gz4,Presenting India’s first 5G VR classroom,0:01:37,0,1,37,97,Hindi,Entertainment,195450,11000,563,789,40,102000,10/2/2022,8/18/2010,Lifestyle,Not Available,1084670155,7,4,Yes,Yes,Trustable,Sagar Mali
Aishwarya Mohanraj,https://www.youtube.com/watch?v=1EpOFzNo0MY,My First Relationship,0:08:42,0,8,42,522,Hindi,Entertainment,14378887,486000,338,6798,5,648000,5/20/2020,9/29/2012,Entertainment,Maharashtra,45688394,9,10,No,Not Required,Trustable,roshan kumar sinha
Aishwarya Mohanraj,https://www.youtube.com/watch?v=wJR6WvMMtNY,HOW WE MET | VLOG 08,16:08:00,16,8,0,"58,080",Hindi,Vlog,1058976,84000,793,1588,15,657,3/31/2022,9/29/2012,Entertainment,Not Available,47921233,6,8,No,Not Required,Not Trustable,Diya Kalra
Ajay Raj,https://www.youtube.com/watch?v=aV9gfuUhegE,A Dream Road Trip to Heaven Ladakh,0:30:55,0,30,55,"1,855",Hindi,Lifestyle,127465,11000,863,1688,132,123000,9/25/2022,5/22/2018,Lifestyle,Delhi,12398197,10,8,No,Not Required,Trustable,roshan kumar sinha
Aju A'kay,https://www.youtube.com/watch?v=1toK4AGx0Mk,Oo Antava Mawa ?? by Google Translate ??,0:01:11,0,1,11,71,Telugu,Entertainment,344419,33000,958,1473,43,364000,3/13/2022,10/6/2016,Music,Kerala,46443448,10,10,Yes,Yes,Trustable,roshan kumar sinha
Akash 360 Views,https://www.youtube.com/watch?v=4hDER-GISRg,iPhone 13 Review in Tamil | Apple iPhone 13 Review Tamil | iPhone 13 Series Review tamil | iPhone 13,0:14:48,0,14,48,888,Tamil,Review,741,45,607,4,54,335000,11/28/2021,9/24/2014,Tech,Tamil Nadu,3009560,6,7,No,Not Required,Trustable,Lydia
Akash Agrawal,https://www.youtube.com/watch?v=MN1bujHrVZ4,"One Shot Commission, Discount & Brokerage | Class 12th Commerce | Maths 2 | HSC 2022 |",1:21:23,1,21,23,"4,883",Hindi,Educational,43607,1400,321,118,27,56500,2/4/2022,4/24/2020,Educational,Not Available,4979207,7,8,Yes,Yes,Trustable,Manya Tyagi
Akash Dodeja,https://www.youtube.com/watch?v=usgkjFvneRc,"THIS IS WHY I LEFT YOUTUBE | Jadoo vlogs
",0:18:46,0,18,46,"1,126",Hindi,Vlog,5739996,577000,1005,33970,59,1320000,2/8/2021,2/10/2011,Vlog,Maharashtra,100778161,10,10,No,Not Required,Trustable,Himanshi
Akash Gupta,https://www.youtube.com/watch?v=Y2Oj9gllHno,I am chef| Akash Gupta|Stand-up comedy,8:54:00,8,54,0,"32,040",Hindi,Entertainment,14061252,925000,658,10913,8,3410000,4/21/2022,9/13/2022,Entertainment,Not Available,275007450,8,7,No,Not Required,Not Trustable,Diya Kalra
Aksh Baghla,https://www.youtube.com/watch?v=h6m_5uG6Wik,ZARA ZARA (Cover by Aksh Baghla),0:03:08,0,3,8,188,Hindi,Entertainment,3277187,226000,690,7081,22,3140000,6/8/2020,7/14/2016,Music,Himachal Pradesh,195548089,10,10,Yes,Yes,Trustable,roshan kumar sinha
Akshat Shrivastava,https://www.youtube.com/watch?v=ivSUWKG925k,"Kam ????? mai ek ???? PORTFOLIO kaise banayein? | Akshat Shrivastava Hindi
",0:17:04,0,17,4,"1,024",Hindi,Entertainment,726946,29000,399,1500,21,85700,6/3/2022,5/30/2022,Entertainment,Not Available,2744251,7,7,No,Not Required,Trustable,Manya Tyagi
Akshat Shrivastava,https://www.youtube.com/watch?v=6J_yEXN2fOY,Benefits of taking a loan  How to take loans to make money,13:43:00,13,43,0,"49,380",English,Stock Market,265200,8819,333,853,32,1250000,10/2/2022,8/1/2020,Share Market,Delhi,11460000,10,10,Yes,Yes,Trustable,Sai Prateek
Akshat Shrivastava,https://www.youtube.com/watch?v=fMnAdWTcgbc,How YOU can save A LOT OF taxes | Simple 5 point explanation,0:13:43,0,13,43,823,English,Educational,184824,7100,384,697,38,1260000,11/22/2021,8/24/2020,Educational,Delhi,114722421,9,9,No,Not Required,Trustable,Abhishek Sabne
Akshat Shrivastava,https://www.youtube.com/watch?v=bZPDW062vgU,How to make regular income from investments?,0:14:11,0,14,11,851,English,Educational,1066163,27000,253,3617,34,1260000,11/26/2021,8/24/2020,Educational,Delhi,114722421,9,9,No,Not Required,Trustable,Abhishek Sabne
Akshat Shrivastava,https://www.youtube.com/watch?v=aTQh_RQZ8MQ,Should YOU invest? The REAL Value of NFTs,0:17:24,0,17,24,"1,044",English,Educational,62894,2800,445,549,87,1260000,12/31/2021,8/24/2020,Educational,Delhi,114722421,9,9,No,Not Required,Trustable,Abhishek Sabne
Akshat Shrivastava,https://www.youtube.com/watch?v=cHRPLblzNC4,How the World is Defaulting on its debt,0:16:14,0,16,14,974,English,Educational,198287,7700,388,915,46,1260000,4/17/2022,8/24/2020,Educational,Delhi,114722421,9,9,No,Not Required,Trustable,Abhishek Sabne
Akshat Shrivastava,https://www.youtube.com/watch?v=QQknGyXRDgo,What are REITs? | Best REAL Estate Investment options in India,0:18:19,0,18,19,"1,099",English,Educational,138842,4300,310,550,40,1260000,7/22/2022,8/24/2020,Educational,Delhi,114722421,9,9,No,Not Required,Trustable,Abhishek Sabne
Aleena Rais Live,https://www.youtube.com/watch?v=Rok1OxHL16k,“I prepare whole English sentences in mind before speaking out” - do you also do this?,0:11:45,0,11,45,705,English,Educational,362796,12000,331,422,12,2220000,8/11/2022,12/28/2011,Employment,Not Available,139781317,8,10,No,Not Required,Trustable,Mohamad Moosa
Alexander Babu,https://www.youtube.com/watch?v=qiRvZUNdx9o,Iraivanidam Kai Yendhungal Cover - Home Videos,0:05:15,0,5,15,315,Tamil,Music,1142455,50000,438,3316,29,185000000,5/25/2022,11/4/2016,Music,Tamil Nadu,148210105,7,8,No,Not Required,Trustable,Imran Khan
All India Bakchod,https://www.youtube.com/watch?v=5LFdcZe7WW4,AIB podcast : feat. shah rukh khan,0:30:28,0,30,28,"1,828",Hindi,Entertainment,9369706,172000,184,5300,6,3990000,1/30/2017,1/30/2012,Lifestyle,Not Available,604297143,5,6,Yes,Yes,Trustable,Praneeth kodam
All India Bakchod,https://www.youtube.com/watch?v=HmCfiqW0Y0I,AIB Podcast,0:24:10,0,24,10,"1,450",Hindi,Entertainment,9369706,125000,133,4832,5,39900000,2/1/2017,1/30/2012,Entertainment,Not Available,602900852,8,8,No,Not Required,Trustable,Manya Tyagi
ALLEN Career Institute,https://www.youtube.com/watch?v=jxdQLGRfzdM,Know ?? Success Formula for AIR-3 | Meet Mehak Arora | Journey of ALLENite | Legends of ALLEN,0:02:49,0,2,49,169,Hindi,Motivation,61690,2300,373,62,10,1430000,7/16/2022,11/21/2010,Educational,Not Available,126707985,9,9,No,Not Required,Trustable,Mahesh
ALLEN Career Institute,https://www.youtube.com/watch?v=3UEjrchWcuo,Inspiring Progress from Vision to Reality! 1.25 Lakh+ Classroom Students Enrolled at ALLEN Kota,0:06:10,0,6,10,370,Hindi,Educational,64202,1100,171,108,17,1430000,9/20/2022,11/21/2010,Educational,Not Available,126707985,10,9,No,Not Required,Trustable,Mahesh
ALLEN Career Institute,https://www.youtube.com/watch?v=HzYNwhUygO4,"?????? ????? ???? ????, ????? ???? ?? ?????? ???? ???? | @Kumar Vishwas ?? ???? ??? ???? ???",0:14:55,0,14,55,895,Hindi,Motivation,23133,2300,994,34,15,1430000,10/17/2022,11/21/2010,Educational,Not Available,126707985,9,8,No,Not Required,Trustable,Mahesh
Alright ,https://www.youtube.com/watch?v=-PwumQ6UlYE,Modern Parivaar | EP 1/3 Love Affair | Ft. Kritika Avasthi & Alam Khan | Mini Web Series | Alright!,0:14:29,0,14,29,869,Hindi,Entertainment,2348221,58000,247,1152,5,3370000,7/14/2021,9/27/2017,Entertainment,Not Available,488892084,9,9,No,Not Required,Trustable,Manya Tyagi
Aman Dhattarwal ,https://www.youtube.com/watch?v=8rEf5sWW_bY,How to Earn Money in College ,0:18:16,0,18,16,"1,096",Hindi,Lifestyle,500876,39000,779,3353,67,4200000,9/10/2022,12/11/2014,Employment,Not Available,318989696,10,10,No,Not Required,Trustable,Vaishnavi
Aman Sawarkar,https://www.youtube.com/watch?v=2vLXHMqlH_k,My First College Tour | Indira College Pune | Indira College | Pune | ICCS Pune | Aman Sawarkar,0:07:12,0,7,12,432,Hindi,Vlog,6076,126,207,47,77,300,7/8/2022,3/12/2022,Vlog,Not Available,22320,4,5,No,Not Required,Not Trustable,Sagar Mali
Amit Bhadana,https://www.youtube.com/watch?v=ED0PSAElYio,Types Of People in a Bus - Amit Bhadana,0:06:38,0,6,38,398,Hindi,Entertainment,64723313,1300000,201,34669,5,24100000,11/26/2017,10/24/2012,Entertainment,Delhi,2263627363,10,10,No,Not Required,Trustable,Himanshi
Amit Bhadana,https://www.youtube.com/watch?v=NPRGx6l12qo,Berozgaari (Berozgaar Bachelors) EP - 01 Amit Bhadana,0:15:37,0,15,37,937,Hindi,Entertainment,21163865,1700000,803,80463,38,24100000,5/25/2020,10/24/2012,Entertainment,Not Available,2263806533,9,9,No,Not Required,Trustable,Mahesh
Amit Bhadana,https://www.youtube.com/watch?v=mHJ4qZIUUFk,Father Saab ( Official Video ) - Amit Bhadana | King | Section 8 | Teji Sandhu,0:05:05,0,5,5,305,Hindi,Music,34673564,1600000,461,177409,51,24100000,7/25/2021,10/24/2012,Entertainment,Uttar Pradesh,2263627363,6,6,No,Not Required,Trustable,Utsav Tiwary
Amit Bhadana,https://www.youtube.com/watch?v=CLNd2XY_01k,Chidiya Ghar,0:57:59,0,57,59,"3,479",Hindi,Entertainment,18086120,1300000,719,300416,166,24100000,4/27/2022,10/24/2012,Entertainment,Not Available,2258746362,8,8,No,Not Required,Trustable,Manya Tyagi
Amit Bhadana,https://www.youtube.com/watch?v=CLNd2XY_01k&t=3s,Chidiya Ghar - Amit Bhadana | Rajpal Yadav,0:57:59,0,57,59,"3,479",Hindi,Entertainment,18088348,1300000,719,300200,166,24100000,4/27/2022,10/24/2012,Entertainment,Not Available,2263806533,9,9,No,Not Required,Trustable,Mahesh
Amit Bhadana,https://www.youtube.com/watch?v=uSvW2XmxLm4,Paggal,1:40:58,1,40,58,"6,058",Hindi,Entertainment,13936603,1600000,1148,213611,153,24100000,6/8/2022,10/24/2012,Lifestyle,Not Available,2263627363,7,7,No,Not Required,Trustable,Jayita Mali
Amit Bhawani,https://www.youtube.com/watch?v=Ynt0fUpGW8A,World's First Fidget Spinner Phone Unboxing & GIVEAWAY ?? PhoneRadar,0:04:37,0,4,37,277,Hindi,Educational,971069,11000,113,7208,74,870000,9/8/2017,2/26/2011,Tech,Gujarat,162519047,6,6,No,Not Required,Trustable,Utsav Tiwary
Amit Thinks,https://www.youtube.com/watch?v=IqYfmckxeyE,How To Install Mysql 8.0.27 Server And Workbench Latest Version On Windows 11,0:08:10,0,8,10,490,English,Educational,128208,2300,179,219,17,74100,12/9/2021,8/8/2012,Tech,Not Available,21265554,8,8,Yes,Yes,Trustable,Imran Khan
An Open Letter 001,https://www.youtube.com/watch?v=ymjQSW4GtQA,"Is HOMEOPATHY a SCAM?
",0:11:06,0,11,6,666,Hindi,Entertainment,991216,38000,383,4200,42,380000,7/16/2022,1/9/2018,Entertainment,Not Available,25645698,8,8,No,Not Required,Trustable,Manya Tyagi
Anam Darbar,https://www.youtube.com/watch?v=rX5v3cJVfKw,"Telling My Best Friend I Have Feelings For Him  Ft. Sunny Chopra | Anam Darbar
",0:23:00,0,23,0,"1,380",Hindi,Entertainment,3126296,165000,528,5704,18,748000,6/16/2020,5/17/2020,Vlog,Maharashtra,419895064,10,10,No,Not Required,Trustable,Himanshi
Animator Bhai,https://www.youtube.com/watch?v=AmcL1GYelnA,Indian middle class shopping,0:06:52,0,6,52,412,Hindi,Entertainment,113170,10000,884,311,27,99900,9/1/2022,3/9/2019,Educational,Not Available,4412782,6,5,Yes,Yes,Trustable,Praneeth kodam
Aniqua Point,https://www.youtube.com/watch?v=jxvjwCuJFYE,How to Draw a Fish easily at home | Aniqua Point,0:05:46,0,5,46,346,Bengali,Entertainment,3979243,50000,126,0,0,835000,5/26/2022,10/29/2020,Educational,Not Available,16110830,0,5,No,Not Required,Not Trustable,Mohamad Moosa
Aniruddha Patil,https://www.youtube.com/watch?v=lt_40Uv1uZo,The Thrilling Climb of KALAVANTIN DURG | Kalavantin Durg Trek,0:21:57,0,21,57,"1,317",Hindi,Entertainment,4500,1700,3778,237,527,67800,9/6/2022,8/11/2012,Entertainment,Not Available,8043618,4,4,No,Not Required,Not Trustable,Manya Tyagi
Anirudh Patil,https://www.youtube.com/watch?v=nyA3teAJkK0,We explored kumbhe waterfall like  no one before,0:18:20,0,18,20,"1,100",Hindi,Lifestyle,874590,17000,194,1300,15,72000,9/2/2022,9/9/2012,Vlog,Not Available,8881203,7,7,Yes,Yes,Trustable,Praneeth kodam
Anita Bokepalli,https://www.youtube.com/watch?v=3VISaKnaKlE,I Meditated Twice A Day For 30 Days. Here’s What Happened.,0:14:18,0,14,18,858,English,Lifestyle,359557,9700,270,619,17,189000,4/14/2022,5/17/2016,Lifestyle,Not Available,16913460,7,8,No,Not Required,Trustable,Mohamad Moosa
Ankhush Raja Official,https://www.youtube.com/watch?v=YyVI46K8q9E,"HD VIDEO | ??????? ??? ???? ????? ???? | Ankush Raja , Shilpi Raj | Bhojpuri Song 2021",0:03:55,0,3,55,235,Bhojpuri,Music,603229561,2000000,33,48780,1,6730000,1/14/2021,1/21/2018,Music,Bihar,2527938888,7,7,No,Not Required,Trustable,Utsav Tiwary
Ankit Bansal,https://www.youtube.com/watch?v=e1SVjR-xoto,"Brilliant SQL Interview Question | Solve it without using CTE, Sub Query, Window functions",0:08:22,0,8,22,502,English,Employment,5014,216,431,84,168,38200,5/19/2022,2/9/2010,Employment,Not Available,853729,9,10,Yes,Yes,Trustable,Mohamad Moosa
Anmol Jaiswal,https://www.youtube.com/watch?v=eeE796qRHRs,How to get free products for review with 0 subscribers,0:12:47,0,12,47,767,Hindi,Review,146741,13000,886,548,37,940000,7/23/2021,6/25/2017,Lifestyle,Not Available,126025018,5,2,No,Not Required,Not Trustable,Praneeth kodam
Annurag Aggarwal,https://www.youtube.com/watch?v=6Cf0ii3vre4,Stock Market VS Real Estate,0:02:48,0,2,48,168,Hindi,Motivation,15360,2100,1367,185,120,3600000,10/16/2022,9/24/2009,Motivation,Not Available,993767877,8,8,Yes,Yes,Trustable,Jayita Mali
Anonymous Upsc Aspirant,https://www.youtube.com/watch?v=QTR6k02ve6M,I cleared UPSC CSE Prelims 2022 with *EASE*,0:43:11,0,43,11,"2,591",Hindi,Lifestyle,128936,7600,589,556,43,15200,10/4/2022,10/27/2021,Educational,Not Available,300644,10,10,Yes,Yes,Trustable,roshan kumar sinha
Ansh Nakwal,https://www.youtube.com/watch?v=Rn4ZGeirrio,How to Become tech youtuber in India ?,0:05:54,0,5,54,354,Hindi,Review,27293,19000,6961,113,41,356000,11/8/2020,6/19/2015,Tech,Not Available,64227618,4,5,Yes,Yes,Trustable,Praneeth kodam
Anshu Bisht,https://www.youtube.com/watch?v=uTQrfpKFJuU,Secret technique for unlimited diamonds in minecraft mobile/PE,0:49:21,0,49,21,"2,961",Hindi,Entertainment,1171336,87000,743,9800,84,3350000,10/9/2022,3/29/2019,Entertainment,Not Available,500140987,7,7,Yes,Yes,Trustable,Praneeth kodam
Anthropology for UPSC,https://www.youtube.com/watch?v=2L46SKGyiKM,"Paper II, Topic-3.3 Sacred Complex (with reference to Little & Great tradition) Part I",0:28:46,0,28,46,"1,726",Hindi,Educational,6041,205,339,106,175,24300,6/16/2022,1/5/2021,Educational,Not Available,978942,8,8,No,Yes,Trustable,Ayush Chakraborthy
